Sample,WaterType,Location,Region,Latitude,Longitude,Continent
BRE,Fresh,Braddock Bay,Northeast,43.307,-77.706,North America
CBE,Salt,Cocodrie Bayou,South,29.254,-90.664,North America
EUE,Fresh,Lake Eufaula,South,35.146,-95.627,North America
FRE,Fresh,Frisian Lake,Europe,53.031,5.729,Europe
IJE,Fresh,Ijsselmeer,Europe,52.699,5.29,Europe
LOE,Fresh,Louisville,South,38.26,-85.747,North America
MAE,Salt,Montmagnay,Northeast,46.99,-70.55,North America
MIE,Fresh,Milwaukee,Northeast,43.051,-87.882,North America
MME,Fresh,Markemeer,Europe,52.574,5.033,Europe
SCE,Salt,Western Scheldt,Europe,51.302,4.286,Europe
SJE,Salt,St Jean,Northeast,47.219,-70.281,North America
TBE,Salt,Taylor Bayou,South,29.883,-94.051,North America
TXE,Fresh,Lake Texoma,South,33.882,-96.797,North America
VIE,Salt,Lisle Verte,Northeast,48.002,-69.423,North America
